position=<20214, -19269> velocity=<-2, 2>
position=<-50020, -49376> velocity=<5, 5>
position=<-39983, 50982> velocity=<4, -5>
position=<-39959, -49376> velocity=<4, 5>
position=<20276, 20878> velocity=<-2, -2>
position=<50353, 40947> velocity=<-5, -4>
position=<10189, 10842> velocity=<-1, -1>
position=<30236, -39340> velocity=<-3, 4>
position=<-29979, -19267> velocity=<3, 2>
position=<20276, 40944> velocity=<-2, -4>
position=<10252, -9236> velocity=<-1, 1>
position=<-9860, -49375> velocity=<1, 5>
position=<-9873, 30908> velocity=<1, -3>
position=<-29973, -19266> velocity=<3, 2>
position=<10219, 50981> velocity=<-1, -5>
position=<50305, 10839> velocity=<-5, -1>
position=<30329, 40948> velocity=<-3, -4>
position=<-19861, 30910> velocity=<2, -3>
position=<40310, 50983> velocity=<-4, -5>
position=<-19898, -29302> velocity=<2, 3>
position=<-49960, -49375> velocity=<5, 5>
position=<-40002, -39339> velocity=<4, 4>
position=<-9861, 50980> velocity=<1, -5>
position=<50379, -39342> velocity=<-5, 4>
position=<10224, 40948> velocity=<-1, -4>
position=<10195, -49376> velocity=<-1, 5>
position=<-39979, -9235> velocity=<4, 1>
position=<50319, 50983> velocity=<-5, -5>
position=<50372, -9230> velocity=<-5, 1>
position=<10212, -29304> velocity=<-1, 3>
position=<-19895, -19268> velocity=<2, 2>
position=<30287, -19268> velocity=<-3, 2>
position=<-50038, 40950> velocity=<5, -4>
position=<-50051, -9235> velocity=<5, 1>
position=<-29942, -9232> velocity=<3, 1>
position=<-29943, 50982> velocity=<3, -5>
position=<20223, 20876> velocity=<-2, -2>
position=<-29918, 20878> velocity=<3, -2>
position=<40326, 50984> velocity=<-4, -5>
position=<-49992, -19266> velocity=<5, 2>
position=<-50000, 50984> velocity=<5, -5>
position=<-29887, -9234> velocity=<3, 1>
position=<10165, 10839> velocity=<-1, -1>
position=<10186, 50983> velocity=<-1, -5>
position=<-50009, 20878> velocity=<5, -2>
position=<30326, 50980> velocity=<-3, -5>
position=<30325, 50980> velocity=<-3, -5>
position=<30321, 40950> velocity=<-3, -4>
position=<-39928, -9230> velocity=<4, 1>
position=<50331, 10837> velocity=<-5, -1>
position=<50381, -49379> velocity=<-5, 5>
position=<20280, 30909> velocity=<-2, -3>
position=<-29985, 20875> velocity=<3, -2>
position=<-9872, 40944> velocity=<1, -4>
position=<30247, 50984> velocity=<-3, -5>
position=<40311, -29304> velocity=<-4, 3>
position=<20272, 30909> velocity=<-2, -3>
position=<40295, 20877> velocity=<-4, -2>
position=<20246, 20875> velocity=<-2, -2>
position=<10218, -39342> velocity=<-1, 4>
position=<20280, -29303> velocity=<-2, 3>
position=<-19853, 10836> velocity=<2, -1>
position=<20263, 30912> velocity=<-2, -3>
position=<50366, -9232> velocity=<-5, 1>
position=<-9835, 50980> velocity=<1, -5>
position=<-50003, 10841> velocity=<5, -1>
position=<50318, 30911> velocity=<-5, -3>
position=<50301, 40945> velocity=<-5, -4>
position=<50355, 30909> velocity=<-5, -3>
position=<30320, 30913> velocity=<-3, -3>
position=<20224, -9230> velocity=<-2, 1>
position=<-50001, 30914> velocity=<5, -3>
position=<50321, -19269> velocity=<-5, 2>
position=<-40011, -9230> velocity=<4, 1>
position=<-29893, -19272> velocity=<3, 2>
position=<50392, 50981> velocity=<-5, -5>
position=<-50060, -9236> velocity=<5, 1>
position=<10175, 40945> velocity=<-1, -4>
position=<40295, -49374> velocity=<-4, 5>
position=<50382, -9230> velocity=<-5, 1>
position=<-39944, 50982> velocity=<4, -5>
position=<-29976, -9232> velocity=<3, 1>
position=<40331, 20876> velocity=<-4, -2>
position=<-9904, -9233> velocity=<1, 1>
position=<-50038, -9235> velocity=<5, 1>
position=<-9895, -39339> velocity=<1, 4>
position=<20289, -19266> velocity=<-2, 2>
position=<20210, 30910> velocity=<-2, -3>
position=<20240, -49375> velocity=<-2, 5>
position=<50395, -19266> velocity=<-5, 2>
position=<-9894, -29304> velocity=<1, 3>
position=<-39931, 10841> velocity=<4, -1>
position=<-29938, 40946> velocity=<3, -4>
position=<10245, 50982> velocity=<-1, -5>
position=<-29938, -19268> velocity=<3, 2>
position=<50352, 30908> velocity=<-5, -3>
position=<40314, 50986> velocity=<-4, -5>
position=<20219, -29302> velocity=<-2, 3>
position=<-19885, -39338> velocity=<2, 4>
position=<-39969, 20878> velocity=<4, -2>
position=<-49999, 30910> velocity=<5, -3>
position=<30315, 20877> velocity=<-3, -2>
position=<-50048, 50986> velocity=<5, -5>
position=<-19870, -19272> velocity=<2, 2>
position=<-39951, 50986> velocity=<4, -5>
position=<20293, 10839> velocity=<-2, -1>
position=<10173, 10842> velocity=<-1, -1>
position=<10177, 10840> velocity=<-1, -1>
position=<-39924, -49376> velocity=<4, 5>
position=<30239, 30912> velocity=<-3, -3>
position=<50371, 20873> velocity=<-5, -2>
position=<50324, -49374> velocity=<-5, 5>
position=<-19940, 40946> velocity=<2, -4>
position=<-19940, 30908> velocity=<2, -3>
position=<-29987, 20874> velocity=<3, -2>
position=<-29932, -19266> velocity=<3, 2>
position=<40334, 10839> velocity=<-4, -1>
position=<10174, 10840> velocity=<-1, -1>
position=<-40023, 50985> velocity=<4, -5>
position=<-39983, -9232> velocity=<4, 1>
position=<-29980, 50983> velocity=<3, -5>
position=<-29897, -29305> velocity=<3, 3>
position=<20247, 20875> velocity=<-2, -2>
position=<20262, -29303> velocity=<-2, 3>
position=<-29952, -9230> velocity=<3, 1>
position=<10175, -29306> velocity=<-1, 3>
position=<50363, 40948> velocity=<-5, -4>
position=<-9856, 20877> velocity=<1, -2>
position=<-29901, 10836> velocity=<3, -1>
position=<10208, 50986> velocity=<-1, -5>
position=<30292, -39343> velocity=<-3, 4>
position=<10209, -39338> velocity=<-1, 4>
position=<50311, -9236> velocity=<-5, 1>
position=<40328, -29308> velocity=<-4, 3>
position=<10249, 20872> velocity=<-1, -2>
position=<40286, -9234> velocity=<-4, 1>
position=<30236, -39343> velocity=<-3, 4>
position=<20192, -49374> velocity=<-2, 5>
position=<-9874, -29307> velocity=<1, 3>
position=<30278, 40947> velocity=<-3, -4>
position=<50308, 40949> velocity=<-5, -4>
position=<-19873, 30911> velocity=<2, -3>
position=<10211, -9234> velocity=<-1, 1>
position=<-9829, 50981> velocity=<1, -5>
position=<-39973, 50980> velocity=<4, -5>
position=<50381, -19267> velocity=<-5, 2>
position=<-39925, 30909> velocity=<4, -3>
position=<10164, 50982> velocity=<-1, -5>
